TIME(y) R_IN(t) R_OUT(t) STOCK(t)  
0 0 0 0
0 82 0 0
0.0833333 82 0 0
0.166667 82 0 0
0.25 82 0 0
0.333333 82 0 0
0.416667 82 0 0
0.5 82 0 0
0.583333 82 0 0
0.666667 82 0 0
0.75 82 0 0
0.833333 82 0 0
0.916667 82 0 0
1 82 0 0
1.08333 82 0 0
1.16667 82 0 0
1.25 82 0 0
1.33333 82 0 0
1.41667 82 0 0
1.5 82 0 0
1.58333 82 0 0
1.66667 82 0 0
1.75 82 0 0
1.83333 82 0 0
1.91667 82 0 0
2 82 0 0
2.08333 82 0 0
2.16667 82 0 0
2.25 82 0 0
2.33333 82 0 0
2.41667 82 0 0
2.5 82 0 0
2.58333 82 0 0
2.66667 82 0 0
2.75 82 0 0
2.83333 82 0 0
2.91667 82 0 0
3 82 0 0
3.08333 164 78.3781 78.3781
3.16667 164 78.3781 78.3781
3.25 164 78.3781 78.3781
3.33333 164 78.3781 78.3781
3.41667 164 78.3781 78.3781
3.5 164 78.3781 78.3781
3.58333 164 78.3781 78.3781
3.66667 164 78.3781 78.3781
3.75 164 78.3781 78.3781
3.83333 164 78.3781 78.3781
3.91667 164 78.3781 78.3781
4 164 78.3781 78.3781
4.08333 164 78.3781 78.3781
4.16667 164 78.3781 78.3781
4.25 164 78.3781 78.3781
4.33333 164 78.3781 78.3781
4.41667 164 78.3781 78.3781
4.5 164 78.3781 78.3781
4.58333 164 78.3781 78.3781
4.66667 164 78.3781 78.3781
4.75 164 78.3781 78.378
4.83333 164 78.3781 78.378
4.91667 164 78.3781 78.378
5 164 78.3781 78.378
5.08333 164 78.3781 78.378
5.16667 164 78.3781 78.378
5.25 164 78.3781 78.378
5.33333 164 78.3781 78.378
5.41667 164 78.3781 78.378
5.5 164 78.3781 78.378
5.58333 164 78.3781 78.378
5.66667 164 78.3781 78.378
5.75 164 78.3781 78.378
5.83333 164 78.3781 78.378
5.91667 164 78.3781 78.378
6 164 78.3781 78.378
6.08333 246 156.756 156.756
6.16667 246 156.756 156.756
6.25 246 156.756 156.756
6.33333 246 156.756 156.756
6.41667 246 156.756 156.756
6.5 246 156.756 156.756
6.58333 246 156.756 156.756
6.66667 246 156.756 156.756
6.75 246 156.756 156.756
6.83333 246 156.756 156.756
6.91667 246 156.756 156.756
7 246 156.756 156.756
7.08333 246 156.756 156.756
7.16667 246 156.756 156.756
7.25 246 156.756 156.756
7.33333 246 156.756 156.756
7.41667 246 156.756 156.756
7.5 246 156.756 156.756
7.58333 246 156.756 156.756
7.66667 246 156.756 156.756
7.75 246 156.756 156.756
7.83333 246 156.756 156.756
7.91667 246 156.756 156.756
8 246 156.756 156.756
8.08333 246 156.756 156.756
8.16667 246 156.756 156.756
8.25 246 156.756 156.756
8.33333 246 156.756 156.756
8.41667 246 156.756 156.756
8.5 246 156.756 156.756
8.58333 246 156.756 156.756
8.66667 246 156.756 156.756
8.75 246 156.756 156.756
8.83333 246 156.756 156.756
8.91667 246 156.756 156.756
9 246 156.756 156.756
9.08333 328 235.135 235.135
9.16667 328 235.135 235.135
9.25 328 235.135 235.135
9.33333 328 235.135 235.135
9.41667 328 235.135 235.135
9.5 328 235.135 235.135
9.58333 328 235.135 235.135
9.66667 328 235.135 235.135
9.75 328 235.135 235.135
9.83333 328 235.135 235.135
9.91667 328 235.135 235.135
10 328 235.135 235.135
10.0833 328 235.135 235.135
10.1667 328 235.135 235.135
10.25 328 235.135 235.135
10.3333 328 235.135 235.135
10.4167 328 235.135 235.135
10.5 328 235.135 235.135
10.5833 328 235.135 235.135
10.6667 328 235.135 235.135
10.75 328 235.135 235.135
10.8333 328 235.135 235.135
10.9167 328 235.135 235.135
11 328 235.135 235.134
11.0833 328 235.135 235.134
11.1667 328 235.135 235.134
11.25 328 235.135 235.134
11.3333 328 235.135 235.134
11.4167 328 235.135 235.134
11.5 328 235.135 235.134
11.5833 328 235.135 235.134
11.6667 328 235.135 235.134
11.75 328 235.135 235.134
11.8333 328 235.135 235.134
11.9167 328 235.135 235.134
12 328 235.135 235.134
12.0833 410 313.513 313.513
12.1667 410 313.513 313.513
12.25 410 313.513 313.513
12.3333 410 313.513 313.513
12.4167 410 313.513 313.513
12.5 410 313.513 313.513
12.5833 410 313.513 313.513
12.6667 410 313.513 313.513
12.75 410 313.513 313.513
12.8333 410 313.513 313.513
12.9167 410 313.513 313.513
13 410 313.513 313.513
13.0833 410 313.513 313.513
13.1667 410 313.513 313.513
13.25 410 313.513 313.513
13.3333 410 313.513 313.513
13.4167 410 313.513 313.513
13.5 410 313.513 313.513
13.5833 410 313.513 313.513
13.6667 410 313.513 313.513
13.75 410 313.513 313.513
13.8333 410 313.513 313.513
13.9167 410 313.513 313.513
14 410 313.513 313.513
14.0833 410 313.513 313.513
14.1667 410 313.513 313.513
14.25 410 313.513 313.513
14.3333 410 313.513 313.513
14.4167 410 313.513 313.513
14.5 410 313.513 313.513
14.5833 410 313.513 313.513
14.6667 410 313.513 313.513
14.75 410 313.513 313.513
14.8333 410 313.513 313.513
14.9167 410 313.513 313.513
15 410 313.513 313.513
15.0833 492 391.892 391.892
15.1667 492 391.892 391.892
15.25 492 391.892 391.892
15.3333 492 391.892 391.892
15.4167 492 391.892 391.892
15.5 492 391.892 391.892
15.5833 492 391.892 391.892
15.6667 492 391.892 391.892
15.75 492 391.892 391.891
15.8333 492 391.892 391.891
15.9167 492 391.892 391.891
16 492 391.892 391.891
16.0833 492 391.892 391.891
16.1667 492 391.892 391.891
16.25 492 391.892 391.891
16.3333 492 391.892 391.891
16.4167 492 391.892 391.891
16.5 492 391.892 391.891
16.5833 492 391.892 391.891
16.6667 492 391.892 391.891
16.75 492 391.892 391.891
16.8333 492 391.892 391.891
16.9167 492 391.892 391.891
17 492 391.892 391.891
17.0833 492 391.892 391.891
17.1667 492 391.892 391.891
17.25 492 391.892 391.891
17.3333 492 391.892 391.891
17.4167 492 391.892 391.891
17.5 492 391.892 391.891
17.5833 492 391.892 391.891
17.6667 492 391.892 391.891
17.75 492 391.892 391.891
17.8333 492 391.892 391.891
17.9167 492 391.892 391.891
18 492 391.892 391.891
18.0833 574 470.271 470.27
18.1667 574 470.271 470.27
18.25 574 470.271 470.27
18.3333 574 470.271 470.27
18.4167 574 470.271 470.27
18.5 574 470.271 470.27
18.5833 574 470.271 470.27
18.6667 574 470.271 470.27
18.75 574 470.271 470.27
18.8333 574 470.271 470.27
18.9167 574 470.271 470.27
19 574 470.271 470.27
19.0833 574 470.271 470.27
19.1667 574 470.271 470.27
19.25 574 470.271 470.27
19.3333 574 470.271 470.27
19.4167 574 470.271 470.27
19.5 574 470.271 470.27
19.5833 574 470.271 470.27
19.6667 574 470.271 470.27
19.75 574 470.271 470.27
19.8333 574 470.271 470.27
19.9167 574 470.271 470.27
20 574 470.271 470.27
20.0833 574 470.271 470.27
20.1667 574 470.271 470.27
20.25 574 470.271 470.27
20.3333 574 470.271 470.27
20.4167 574 470.271 470.27
20.5 574 470.271 470.27
20.5833 574 470.271 470.27
20.6667 574 470.271 470.27
20.75 574 470.271 470.27
20.8333 574 470.271 470.27
20.9167 574 470.271 470.27
21 574 470.271 470.27
21.0833 656 548.65 548.649
21.1667 656 548.65 548.649
21.25 656 548.65 548.649
21.3333 656 548.65 548.649
21.4167 656 548.65 548.649
21.5 656 548.65 548.649
21.5833 656 548.65 548.649
21.6667 656 548.65 548.649
21.75 656 548.65 548.649
21.8333 656 548.65 548.649
21.9167 656 548.65 548.649
22 656 548.65 548.649
22.0833 656 548.65 548.649
22.1667 656 548.65 548.649
22.25 656 548.65 548.649
22.3333 656 548.65 548.649
22.4167 656 548.65 548.649
22.5 656 548.65 548.649
22.5833 656 548.65 548.649
22.6667 656 548.65 548.649
22.75 656 548.65 548.649
22.8333 656 548.65 548.649
22.9167 656 548.65 548.649
23 656 548.65 548.649
23.0833 656 548.65 548.649
23.1667 656 548.65 548.649
23.25 656 548.65 548.649
23.3333 656 548.65 548.649
23.4167 656 548.65 548.649
23.5 656 548.65 548.649
23.5833 656 548.65 548.649
23.6667 656 548.65 548.649
23.75 656 548.65 548.649
23.8333 656 548.65 548.649
23.9167 656 548.65 548.649
24 656 548.65 548.649
24.0833 738 627.029 627.028
24.1667 738 627.029 627.028
24.25 738 627.029 627.028
24.3333 738 627.029 627.028
24.4167 738 627.029 627.028
24.5 738 627.029 627.028
24.5833 738 627.029 627.028
24.6667 738 627.029 627.028
24.75 738 627.029 627.028
24.8333 738 627.029 627.028
24.9167 738 627.029 627.028
25 738 627.029 627.028
25.0833 738 627.029 627.028
25.1667 738 627.029 627.028
25.25 738 627.029 627.028
25.3333 738 627.029 627.028
25.4167 738 627.029 627.028
25.5 738 627.029 627.028
25.5833 738 627.029 627.028
25.6667 738 627.029 627.028
25.75 738 627.029 627.028
25.8333 738 627.029 627.028
25.9167 738 627.029 627.028
26 738 627.029 627.028
26.0833 738 627.029 627.028
26.1667 738 627.029 627.028
26.25 738 627.029 627.028
26.3333 738 627.029 627.028
26.4167 738 627.029 627.028
26.5 738 627.029 627.028
